response,Food general,Character general,Knowledge of area,Location,Food specific,Character specific,Disrupt knowledge,Situation ,random,Discard
He doesnt know the neighbourhood well and walked the longer route due to this he may not like pizza and only hot dogs also as if he was lazy he would have gone for the first food stand he saw maybe,1,1,1,1,,,,,,
The hot dog van was closer and he couldnt be bothered to walk to the pizza van,,,,1,,,,,,
Was possibly a bit lost didnt like hot dogs and kept walking till they found the pizza van,1,,,,,,,,,
wanted to go the longer route to exercise,,,,,,1,,,,
Just wanted to get to the hotdog van faster as they are their favourite food,1,,,,,,,,,
was too lazy to walk the extra to get hot dogs,,1,,,,,,,,
wanted to do more exercise,,,,,,1,,,,
was simply looking and found a pizza van,,,,,,,,,,
it is the most direct way,,,,,,,,,,
it is the longest but most straightforward way,,,,,,,,,,
he got lost on his way,,,,,,,1,,,
nearest closest way,,,,1,,,,,,
longer way round but direct,,,,,,,,,,
wanted both foods so went the long way,,,,,1,,,,,
chose the hot dog,,,,,,,,,,
closest to the hot dog,,,,1,,,,,,
Taylor just wanted Pizza today despite his favourite Hot Dog stand being around the corner.,1,,,,1,,,,,
Parker didn't notice he walked by the hot dog stand and was too lazy to go back.,,1,,,,,,,,
Brooklyn didn't know what he wanted so took the long way round to decide.,,,1,,1,,,,,
Drew wanted a hotdog,,,,,1,,,,,
Harper wanted a hot dog and could see the stand from where they were,,,,1,1,,,,,
Jesse doesn't know where he is going so ends up going the long way around to find the hot dog stand,,,1,,,,,,,
Adrian was walking to find something to eat and the first stand he found was the pizza stand.,,,,,,,,,,
"Charlie wanted a hot dog over pizza today,",,,,,1,,,,,
Jess wanted a change from hot dogs,,,,,1,,,,,
Drew wanted pizza today,,,,,1,,,,,
Brooklyn went for a walk for some exercise.,,,,,,1,,,,
Harper didn't want to walk to find an alternative.,,,,,,,,,,
Taylor was hungry for hot dogs.,,,,,1,,,,,
Adrian went to the food truck he could see.,,,,1,,,,,,
Parker wanted to go for a walk before eating.,,,,,,,,,,
Charlie felt like going for a walk before eating.,1,,,,,,,,,
Drew is sporty so wants to take a long walk around the area to reach the pizza stand.,,1,1,,,,,,,
Brooklyn takes the shorter path because he doesn't know the area well.,,,1,,,,,,,
Jesse takes this path because he doesn't know the area and can only see the hot dog stand.,,,1,1,,,,,,
"Parker walks to the pizza stand because even though they can't see it, they know it is there and that it is slightly nearer than the hot dog stand.",,,1,1,,,,,,
Charlie prefers hot dogs to pizza!,1,,,,,,,,,
Adrian doesn't really like pizza so keeps looking for food; he walks the long way round to the hot dog stand because he can't see it from his starting point and doesn't know the area to realise there is a shorter route.,1,,1,1,,,,,,
Taylor takes the long route round to the hot dogs as they are sporty and like exercise.,1,1,,,,,,,,
Harper doesn't like hot dogs so keeps walking to find food they do like.,1,,,,,,,,,
he didnt like pizza,1,,,,,,,,,
they wanted to walk further because they're sporty,,1,,,,,,,,
they didnt see the hot dog stand at the end of he street,,,,1,,,,,,
he knew the pizza stand was close to him,,,,1,,,,,,
there were roadworks,,,,,,,,,,
they knew the hot dog stand was down the street,,,,,,,,,,
he wanted to explore the area because hes sporty,,1,,,,,1,,,
he knew there was a hot dog stand of that street,,,,,,,,,,
Parker's favourite food is hot dogs,1,,,,,,,,,
Taylor wanted to walk more because he is sporty,,1,,,,,,,,
Jesse wanted to walk more because he is sporty,,1,,,,,,,,
Brooklyn doesn't know the area well,,,1,,,,,,,
Adrian doesn't know the area well,,,1,,,,,,,
Charlie is lazy,,1,,,,,,,,
Drew is sporty,,1,,,,,,,,
Harper doesn't know the area well,,,1,,,,,,,
They fancied something different to eat,,,,,1,,,,,
They really wanted hot dogs and didn't know there was a shorter route to take,,,1,,1,,,,,
They initially wanted hot dogs but changed their mind and kept walking to get pizza,,,,,1,,,,,
Pizza was the closest and easiest option,,,,1,,,,,,
Initially wanted pizza but changed their mind to hot dog,,,,,1,,,,,
They wanted hot dogs,,,,,1,,,,,
They were happy to walk past hot dogs to get to pizza,,,,,,,,,,
They were happy to walk a little further to get their favourite food,1,,,,,,,,,
Sporty,,1,,,,,,,,
Prefers pizza,1,,,,,,,,,
Prefers hot dogs,1,,,,,,,,,
Prefers hot dogs,1,,,,,,,,,
"Sporty, prefers the distance",1,1,,,,,,,,
Prefers pizza,1,,,,,,,,,
Likes the excercise,1,,,,,,,,,
Likes the excercise,1,,,,,,,,,
They don't know the area.,,,1,,,,,,,
They're sporty so they wanted a longer walk.,,1,,,,,,,,
They don't know the area so wanted to see all options.,,,1,1,,,,,,
Drew knows it's the closest food,,,1,1,,,,,,
He got to the Hot Dogs and changed his mind.,,,,,1,,,,,
Parker is lazy and wants to do more exercise to change his habits,,1,,,,1,,,,
He doesn't know the area so was just seeing what was around the corner,,,1,1,,,,,,
They know the area well so took the shortest route to food,,,1,,,,,,,
He is lazy,,1,,,,,,,,
He wanted pizza,,,,,1,,,,,
He wanted some hot dogs and some exercise,,,,,1,,,,,
Doesn't know the area,,,1,,,,,,,
was hungry,,,,,1,,,,,
don't know area,,,1,,,,,,,
wanted exercise,,,,,,1,,,,
wanted quickest route,,,,,,,,,,
"He's sporty so he took the longer route, he probably thought there were more food trucks on the road.",,1,,,,,,,,
They went there because that's their favorite food.,1,,,,,,,,,
They wanted to get some exercise in and only then go to the hot dog stand because they are sporty.,,1,,,,,,,,
He didn't feel like getting a pizza so he opted to go buy a hot dog instead.,1,,,,,,,,,
"They didn't like the hot dog stand, so they decided to keep walking.",1,,,,,,,,,
The pizza stand was the closest to them.,,,,1,,,,,,
He didn't like the menu of the pizza stand so he decided to keep walking.,1,,,,,,,,,
They decided to try something new and walk to the pizza stand instead.,,,,,,,,,,
"Parker got to the hot dog stand using the most direct route but found that they were out of stock, so he continued on to the pizza stand instead.",,,,,,,,,,
"Taylor knew that the hot dog stand was closed, so went directly to the pizza stand instead.",,,,1,,,,1,,
"Brooklyn decided to explore since he is sporty to see what he could find. Either the hot dog stand was closed or he really doesn't like hot dogs, so ended up back at the pizza stand.",1,1,,1,,,1,1,,
"Adrian doesn't like hot dogs, so went exploring to see whether he could find something different.",1,,,1,,,,,,
Jesse decided to explore the area to see what was around before stopping for their favourite food.,1,,,,,,1,,,
Harper took the most direct route to the hot dog stand because he like them and is lazy.,1,1,,,,,,,,
"Charlie went for pizza but the pizza stand was closed, so he continued on to the hot dog stand.",,,,1,,,,1,,
"Drew likes hot dogs and was hungry, so took the most direct path.",1,,,,,,,,,
Because he doesn't know the area well,,,1,,,,,,,
because he likes pizza and would like to take a walk before going to the food truck,1,,,,,,,,,
"because he doesnt know the area well, so randomly buy some food when walking around the area",,,1,,,,,,,
because he know where the nearest food shop is,,,1,1,,,,,,
just happen to see a hot dog when when trying to familiarise the area,,,1,1,,,,,,
he just want around the area and ramdomly bought some food before going back,,,1,,,,,,,
"walking around the area and happened to see his favourite food, so bought it",1,,1,1,,,,,,
"because he's lazy, so go the the nearest shop",,1,,1,,,,,,
He didn't know the hot dog stand was there so he settled for pizza,,,1,,,,,,,
He wanted to learn his way around the neighbourhood so he took the long route,,,,,,,1,,,
He knew the hot dog stand was there and fancied a longer walk,,,1,,1,,,,,
He wanted to get to the hot dog stand with minimum effort involved,,,,,,,,,,
He wanted to see if there was another food stand around the corner and he didn't mind walking to investigate because he is sporty,,1,,1,,,,,,
He doesn't like hot dogs so he had to walk longer until he found a food stand he didn't mind eating at,1,,,,,,,,,
"He wanted a long walk more than he wanted his favourite food, so he walked longer and had pizza instead",,,,,1,,,,,
He likes pizza the best and was already nearby so he went there,1,,,1,,,,,,
it was the quickest route,,,,,,,,,,
they wanted pizza,,,,,1,,,,,
he went to the closest vendor,,,,1,,,,,,
he wanted the exercise,,,,,,1,,,,
he wanted a walk,,,,,,,,,,
he wanted hot dogs,,,,,1,,,,,
he wanted a walk and pizza,,,,,1,,,,,
they wanted exercise before the hot dogs,,,,,,1,,,,
The pizza shop is probably healthier as he is sporty so probably healthy,,1,,,,,,,,
it was in his view and because he is lazy he will go for the first thing he finds,,1,,,,,,,,
initially because they are lazy they wanted to go to hotdogs because it was in their view. However they probably changed their mind so then went to pizzas,,1,,,1,,,,,
they know the hotdog is there and its his favourite so took the shortest route probably because he was very hungry,1,,1,,,,,,,
wanted to try the pizza but changed their mind so went for hotdogs as its their favourite,1,,,,1,,,,,
They saw the pizza shop but probably wanted to go around to see if there is anything else. Probably didnt like the hotdogs that were given in the hotdog shop so they went all the way round back to the pizza as they preffer that,1,,,1,,,,,,
they are just extremely lazy and wanted to go for the first thing they saw,,1,,1,,,,,,
they preffer hotdog instead of pizza,,,,,,,,,,
They wanted to get to know the area and took the long way,,,1,,,,,,,
They wanted to go keep fit by going the long route,,,,,,,,,,
They enjoy pizza,,,,,,,,,,
They wanted to see more of the area,,,1,1,,,,,,
They are too lazy to walk further,,1,,,,,,,,
They wanted to keep fit and went the long way,,,,,,,,,,
They were too lazy to go any further,,1,,,,,,,,
They decided to get to know the area,,,1,,,,,,,
He has decided to try and be better by getting fit,,,,,,,,,,
They were sporty so didn't mind walking until they found their favourite food,1,1,,,,,,,,
They could see the food stand so just went to that as it would be easiest,,,,1,,,,,,
He knew the area and knew exactly what he wanted so went directly to it,,,1,,,,,,,
The hotdog stand was closed,,,,1,,,,1,,
They decided to walk in the opposite direction to the food they could see as they really wanted hotdogs,,,,1,1,,,,,
He fancied a change from hotdogs,,,,,1,,,,,
They were prepared to keep walking until they found exactly what they wanted as they were sporty and fit,,1,,,,,,,,
Charlie does not like hot dogs and he has taken the shortest route to the pizza stand.,1,,,,,,,,,
It is the quickest route from his starting point and also he can see the stand from there.,,,,1,,,,,,
Drew is sporty and wanted the execise so took the longest route. Also he couldnt see the hotdog stand from his starting point.,,1,,1,,,,,,
Jesse does not know the area well so may be afraid of getting lost. He cannot see the hot dog stand from his starting point so has settled for pizza instead.,,,1,1,,,,,,
Taylor is sporty and enjoys the exercise hence him taking the longest route. He has decided to have pizza as an alternative.,,1,,,,,,,,
I am not sure because the route selected contradicts one of the stated characteristice. The best explanantion is that he wasn't sure of the area and maybe also thought that there would be a better hot dog van around the corner.,,,1,,,,,,,
Brooklyn is taking the long route round in order to investigate the area and also check out other food outlets in his area (as the hotdog van wasn't in his sight),,,1,,,,,,,
Adrian is unsure of the area and therefore did not know the quickest route to take. Also I am assuming that he does not like hot dogs and prefers pizza.,1,,1,,,,,,,
They could see the Hot dog stand and could get to it quickly,,,,1,,,,,,
They got lost or distracted as they passed the hot dog stall or someone told them there was a pizza stall round the corner.,,,,,,,,,,
He got lost or someone told him there was a hot dog stall around the corner,,,,,,,,,,
Taylor wanted some exercise and took the long route to the hot dog stall.,,,,,,1,,,,
Someone told him there was a pizza stall around the corner and he wanted something different from hot dogs.,,,,,1,,,,,
He might have just wanted a hot dog and knew or was told there was a stall around the corner.,,,,,1,,,,,
He loves Pizza and sees the stall and just goes to that stall.,,,,1,,,,,,
"Drew wants some exercise and goes a long way, finally stopping at the pizza stall.",,,,,,1,,,,
He decided to choose hotdogs because they are his favourite food.,1,,,,,,,,,
Brooklyn prefers hotdogs over pizza.,1,,,,,,,,,
Taylor wnated to try something different to eat.,,,,,,,,,,
The pizza stand was the nearest option.,,,,1,,,,,,
It was the nearest option and Parkers favourite.,1,,,1,,,,,,
Adrian dislikes hot dogs.,1,,,,,,,,,
Jesse doesn't realise there is a hot dog stand.,,,,,,,,,,
He prefers hot-dogs over pizza.,1,,,,,,,,,
"They wanted their favourite food and also to get some exercise beforehand, so took a longer route",1,,,,,,,,,
"They wanted to do some exercise to feel that they earned the pizza, so took the long way round.",,,,,,1,,,,
"They didn't like the look of the hot dogs at the hot dog stand, so decided to look for something else.",1,,,,,,,,,
"They wanted their favourite food which is hot dogs, and wanted to get it quickly.",1,,,,,,,,,
Drew was hungry and wanted food quickly.,,,,,1,,,,,
They wanted to see what the options were before choosing a food item.,,,,1,,,,,,
"Adrian didn't want to eat pizza, so decided to wander around and see if anything else was available.",,,,1,,,,,,
"They decided to explore the area before deciding to buy food, and liked the look of the pizza.",1,,,,,,1,,,
Drew knows the area and is sporty so he already knows whta he will eat and wants to do the most exercise he can too.,,1,1,,,,,,,
Charlie is lazy so wants the closest food to his current postion.,,1,,1,,,,,,
Brooklyn does not know the area very well so eats at the closest vendor.,,,1,1,,,,,,
Parker knows the area so has choosen the shortest route to what he wants to eat.,,,1,,,,,,,
Jesse is sporty so wants to have some good exercise before eating.,,1,,,,,,,,
Harper does not know the area well so wlaks around until she finds hot dogs which are her favourite.,1,,1,,,,,,,
Taylor is sporty so wants to have a good run before eating.,,1,,,,,,,,
Adrian doesn't know the area well but does not fancy hot dogs today so walks around slowly until he finds pizza.,,,1,,,,,,,
They went to the closest place due to being lazy,,1,,1,,,,,,
they went for a run around to see if there was anything else and preferred the pizza place once they saw it,1,,,1,,,,,,
they could not be bothered to look around for the hot dog place even though it is their favourite,1,,,,,,,,,
They did not know the area so did not know which way to go but were willing to look around for the hot dog place,,,1,,,,,,,
they knew this was the shortest path to their favourite food,1,,,,,,,,,
"they wanted to take a long route on purpose, so despite passing their favourite food they wanted to walk/run a bit further",1,,,,,,,,,
they decided to stop being lazy for once and took the long route,,1,,,,,,,,
they went to the pizza place but decided they wanted hot dogs instead,,,,,1,,,,,
they do not know where they are going,,,1,,,,,,,
they were very hungry,,,,,1,,,,,
brooklyn wanted pizza or was hungry and it was the first thing they found,,,,,1,,,,,
Adrian got lost,,,,,,,1,,,
Taylor wanted some excersise so took a longer route,,,,,,1,,,,
drew wanted excersise so took the long route,,,,,,,,,,
Parker was starving and wanted something to eat now,,,,,1,,,,,
charlie did not want to walk far for food,,,,,,,,,,
They wanted hot dogs today,,,,,1,,,,,
The pizza was the closest,,,,1,,,,,,
He hadn't realised the pizza shop was just down the road and walked all the way round to find it,,,,,,,,,,
"He was going for a walk, passed the pizza stand but didn't want that, then came to the hot dog stand and chose to buy",,,,,,,,,,
He saw the hot dog stand in the distance and chose to get one,,,,1,,,,,,
He was looking for the hot dog stand and walked the long way to get it,,,,,,,,,,
He was looking for the pizza stand and walked the long way to get it,,,,,,,,,,
He came to the pizza stand first so decided to get one,,,,,,,,,,
Adrian went the long way because he does not know the area.,,,1,,,,,,,
Charlie knows the area well so went the quickest way.,,,1,,,,,,,
Jesse went the quickest way because his favourite food is hot dogs.,1,,,,,,,,,
Parker went what he thought was the quickest way because he is lazy.,,1,,,,,,,,
He saw the pizza stand and knew it was closer.,,,,1,,,,,,
Drew is sporty so went the longest way to get some exercise.,,1,,,,,,,,
Taylor went for his favourite food hot dogs and is sporty so went the longest way.,1,1,,,,,,,,
Harper chose the route because he does not know the area well.,,,1,,,,,,,
He knows the area well so took a longer route.,,,1,,,,,,,
They know the area well so went to the stand around the corner.,,,1,,,,,,,
Adrian is lazy so went to the closest stand.,,1,,1,,,,,,
They don't know the area well so went round the estate.,,,1,,,,,,,
Drew likely went to his favourite food.,1,,,,,,,,,
"Harper's favourite food is hot dogs, so went looking.",1,,,,,,,,,
They know the area well so went a longer route.,,,1,,,,,,,
They are sporty so went a longer route.,,1,,,,,,,,
Drew fancied hot dogs over pizza,,,,,1,,,,,
Jesse took a longer route to the hot dog stand because he is sporty,,1,,,,,,,,
Charlie took the long route to warrant eating a hot dog,,,,,,,,,,
Harpers favorite food is hot dogs,1,,,,,,,,,
Adrian doesn't want hot dogs,,,,,,,,,,
Brooklyn to a long walk to get to the pizza because he is sporty,,1,,,,,,,,
Taylor fancied pizza over his favorite food,1,,,,,,,,,
The hot dog place was closed so he carried on to the pizza place,,,,1,,,,1,,
"He is sporty and was wanting the most exercise possible, so chose the longest route",,1,,,,,,,,
They didn't feel like hot dogs on this day,1,,,,,,,,,
They are lazy,,1,,,,,,,,
They really wanted a hot dog,,,,,1,,,,,
He knows where the hot dog stand is and wanted a hot dog,,,1,,1,,,,,
They are sporty and wanted the most amount of exercise possible,,1,,,,,,,,
They didnt want a hot dog,,,,,,,,,,
He doesn't know the area so didnt see anything else he wanted on his walk,,,1,1,,,,,,
He is lazy and so he has chosen the path which is the quickest and easiest to get to the pizza truck,,1,,,,,,,,
"He didn't know which direction to go in and could probably see the hotdog stand from where he was, so chose that path",,,1,1,,,,,,
"Whilst he is lazy, he wanted to explore the area to get to know it a bit better and held out for pizza",,1,,,,,1,,,
"He didnt know a quicker or faster route to get to the hotdog stand, he must have seen the pizza stand and thought there would be a simular seller with hotdogs close by so kept going",,,1,1,,,,,,
"He has taken a longer route than normal due to being sporty, and has decided along the way that he doesnt want hotdogs today and therefore continues on to get pizza, whilst getting more exercise",,1,,,,,,,,
"He is lazy, knows the area well and so has chosen the quickest path to his favourite food-hotdogs",1,1,1,,,,,,,
"He couldnt see the hotdogs from he was and as he doesnt know the area well, he went in the wrong direction and settled for pizza",,,1,1,,,,,,
"Being sporty, he has chosen to take the longest route, as he knows the area well, and has gotten extra exercise, ending with his favourite food",1,1,1,,,,,,,
Parker knew that the hot dog stand was nearby but decided to see what was around the corner.,,,,1,,,,,,
Adrian took the quickest route purely by chance as he didn't know the area well.,,,1,,,,,,,
Harper found the hot dog stand quickly as it was very close by despite the fact that they did not know the area well.,,,1,1,,,,,,
Taylor knew the hot dog stand was nearby and they could reach it quickly by running.,,,,1,,,,,,
Jesse preferred to take a longer route to the food stand because they are sporty.,1,1,,,,,,,,
Brooklyn guessed that the pizza stand could be reached around the block so he decided to run to reach it as he is sporty.,,1,,,,,,,,
Drew knows the area well and took the quickest route he knows to the hot dog stand from his original location.,,,1,,,,,,,
The road was blocked so Charlie took the second route he knows to the hot dog stand.,,,1,,,,,,,
They took the long route to the pizza stand because they are sporty and wanted to take the longer route.,,1,,,,,,,,
Parker took the longer route because they know the area well. The shorter route may have obstacles they know of.,,,1,,,,,,,
They know the area well.,,,1,,,,,,,
They don't know the area well.,,,1,,,,,,,
They are sporty.,,1,,,,,,,,
They are lazy.,,1,,,,,,,,
They know the area well.,,,1,,,,,,,
They know the area well.,,,1,,,,,,,
they like hot dogs,1,,,,,,,,,
they were hungry and grabbed what was nearest,,,,1,,,,,,
they dont like hotdogs so had to keep walking,1,,,,,,,,,
they are sporty so wanted a long walk,,1,,,,,,,,
they didnt want pizza so went other way,,,,,1,,,,,
they are sporty so went a long way,,1,,,,,,,,
they wasnt hungry at first then became hungry so went to where the hot dogs were,,,,,1,,,,,
they knew the pizza was closest,,,,1,,,,,,
They went to the hot dog stand because their favourite food is hot dogs.,1,,,,,,,,,
"They prefer pizza to hot dogs because, despite being lazy, they walked past the hot dog stand to get to the pizza stand instead.",1,1,,,,,,,,
"They do not know the area as well as they think they do because, despite being lazy, they took the longer route to the hot dog stand rather than just simply walking down the street to it.",,1,1,,,,,,,
They chose the most convenient place (i.e. the first place they stumbled across) to get food because they do not know where they are and are too lazy to explore further.,,1,,1,,,,,,
"Because they don't know the area well and are also lazy they opted to go to the first food stand they came across, the pizza stand.",,1,1,,,,,,,
"Despite being able to see the pizza stand from where they began, their sporty side took over and they decided to go the long way around to work up an appetite before having some pizza.",,1,,1,,,,,,
"As the two food stands are relatively equidistant from where they began, the fact that they are sporty didn't really impact on their chosen route and they simply went to the food stand selling what they wanted most at the time. In this instance, pizza.",,1,,,,,,,,
"As they are sporty, they chose to bypass the pizza stand despite not knowing the area well to get some extra exercise in, stopping at the hot dog stand when they were finished.",,1,1,,,,,,,
They go to the hot dog stand because it's closer.,,,,1,,,,,,
"They don't know the pizza stand is around the corner""",,,1,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
"They don't know the pizza stand is around the corner""",,,1,,,,,,,
"They don't know the hot dog stand is around the corner""",,,1,,,,,,,
They go to the pizza stand because it's closer.,,,,1,,,,,,
They go to the hot dog stand because it's their favorite.,1,,,,,,,,,
Drew didn't want to exercise today.,,,,,,1,,,,
Today Taylor did not want to eat hot dogs.,,,,,1,,,,,
Parker is not as lazy as they say.,,1,,,,,,,,
Brooklyn worked out before having a nice pizza.,,,,,,,,,,
Harper went for his hot dogs no matter what the cost.,,,,,,,,,,
Jesse walked long enough to eat his favorite food.,1,,,,,,,,,
Charlie is not lazy.,,1,,,,,,,,
Adrian is quite lazy.,,1,,,,,,,,
Even though it says they are lazy maybe they wanted to get more exercise or they thought about having pizza as a change but carried on to the hot dog stand as they realized they didn't really fancy a change after all,,1,,,,1,,,,
"He didn't mind walking, he doesn't know the area so took a gamble and it was the long way round. Also he would have seen the pizza cart and maybe thought another eating cart would be nearby",,,1,1,,,,,,
He couldn't be bothered to walk that far for a hotdog and he was hungry so decided on pizza as it was closer,,,,1,,,,,,
They didn't fancy the hot dog when they got there so decided to carry on going and go back to the pizza cart not much difference in carrying on going or doubling back,,,,,1,,,,,
They wanted a hotdog and they went by the shortest route,,,,,1,,,,,
He saw the hot dogs and went for the first cart she could see,,,,1,,,,,,
"Changed their mind, they knew the pizza place was further on but went to the hot dogs first and then carried on",,,,,1,,,,,
Knew he wanted pizza and went for the shortest route,,,,,1,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
"They don't know the pizza stand is around the corner""",,,1,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
"They don't know the hot dog stand is around the corner""",,,1,,,,,,,
They go to the pizza stand because it's their favourite,1,,,,,,,,,
They go to the hot dog stand because it's closer.,,,,1,,,,,,
They go to the pizza stand because it's closer.,,,,1,,,,,,
They go to the hot dog stand because it's their favorite.,1,,,,,,,,,
he doesn't like pizza,1,,,,,,,,,
he took the long way round because is active,,,,,,,,,,
too hungry from exercise and went to the first place with food,,,,,,1,,,,
he's lazy so took the shortest route to food even though he knew there is a hot dog stand,,1,,,,,,,,
he preferred hot dog over pizza,1,,,,,,,,,
he took the long route because he prefers hot dogs and may have went for a run before getting food,1,,,,,,,,,
Probably went to the first place that sold hot dogs and it happen to be the short route,,,,,,,,,,
he may have missed the hot dog stand,,,,,,,,,,
Better hot dogs than sports.,,,,,,,,,,
He went straight for his favorite food.,1,,,,,,,,,
His laziness may have made him eat the first thing he found.,,,,,,,,,,
It seems that all the information about Taylor is wrong.,,,,1,,,,,,
He left his laziness aside and walked a little further to eat hot dogs.,,,,,,,,,,
He went after his favorite food.,1,,,,,,,,,
This guy doesn't like hot dogs.,1,,,,,,,,,
He is a good sportsman.,,,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They go to the hot dog stand because it's their favorite.,1,,,,,,,,,
They go to the hot dog stand because it's their favorite.,1,,,,,,,,,
They go to the hot dog stand because it's their favorite.,1,,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
"They don't know the Hot dogs stand is around the corner""",,,1,,,,,,,
They go to the pizza stand because it's closer.,,,,1,,,,,,
"They don't like pizza much, so despite being able to see the pizza stand they went the other way. They see the hotdog stand but it didn't look clean or it was too expensive, so they carried on abck round to the pizza stand regretably",1,,,1,,,,,,
"They decided to take the long route being sporty, then saw the hot dog stand so stopped for a bite to eat",,1,,1,,,,,,
"They know the area, so knew where the hotdog stand would be. They went there, taking he long route because theyre sporty",,1,1,,,,,,,
They knew the hot dog stand was there but because they are lazy they just went to he pizza place because it was closer,,1,,1,,,,,,
"It;s a similar distance to each stand, they must like hotdogs more than pizza",1,,,,,,,,,
Drew knew the pizza stand was there and always inteded to go there. They just took the long route as they're sporty,,1,,,,,,,,
"Brooklyn is sporty and saw the hot dog stand, they decided to take the long route to the hotdog stand but on the way they saw the pizza stand. They preferred pizza so stopped to eat",1,1,,1,,,,,,
"He saw the hot dog stand, didn't want them because he doesn't really like them. On the way around he came across pizza, but hates it more, so carried on to the hot dog stand regretably",1,,,1,,,,,,
He might have asked someone for the direction.,,,,,,,,,,
He went there himself because he knew the area and moreover he was just a few distance away from the pizza truck.,,,1,,,,,,,
He muct have have been walking round the blocks searching for food trucks.,,,,,,,,,,
"Because he knew the area well, he walked to the location of the hot dogs truck.",,,1,,,,,,,
He must have gone visiting or doing something else at the other direction.,,,,,,,,,,
"Brooklyn must have wanted to just go for a walk and on his way, go to the hot dog truck.",,,,,,1,,,,
He must have decided not to come through the shorter route.,,,,,,,,,,
"As he did not know where the hot dogs truck was, he must have decided to walk round searching for one.",,,1,,,,,,,
"They don't know the pizza stand is around the corner""",,,1,,,,,,,
"They don't know the Hot dogs stand is around the corner""",,,1,,,,,,,
They go to the hot dog stand because it's their favorite.,1,,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
They wanted to take the long route because they are sporty,,1,,,,,,,,
"They don't know the pizza stand is around the corner""",,,1,,,,,,,
They go to the pizza stand because it's closer.,,,,1,,,,,,
"They don't know the hot dogs stand is around the corner""",,,1,,,,,,,
They went the long way around to work up an appetite,,,,,,,,,,
Harper hoped there would be something better than this particular hot dog stall but settled for the pizza because he couldn't be bothered to go back.,,,,,,,,,,
"Harper settled for the pizza, which isn't his favourite but he was too lazy to go back to the hot dog stall",1,1,,,,,,,,
Charlie took the quickest root to the hot dog stand to get his favourite food,1,,,,,,,,,
Drew likes to stretch his legs before going for a pizza,1,,,,,,,,,
Adrian didn't know what he would find but after getting to the second option he didn't want to go any further so settled for this,,,1,,,,,,,
He saw the hot dogs - it was clear how to get there quickly and was hungrier than they were in need of exercise,,,,1,,,,,,
Brooklyn saw the pizza stand and went straight to it,,,,1,,,,,,
Really hungry and the pizza stand was in view,,,,,1,,,,,
Doesn't like pizza or had it recently and doesn't mind walking longer for other options.,1,,,,,,,,,
Don't know the area and unsure what they want so took a long walk to check out options.,,,1,,,,1,,,
Doesn't know the area and doesn't like pizza,1,,1,,,,,,,
Knows the area and location of both options and prefers pizza.,1,,1,,,,,,,
Doesn't know area and is walking around to find options other than Hot Dogs,,,1,,,,,,,
Out for a long walk and decided to stop for a Hot Dog,,,,1,,,,,,
Was at home and wanted a hot dog,,,,,1,,,,,
"They know the area well and can see the hot dog, and it is close",,,1,1,,,,,,
"They are lazy so they will take the shortest route and go for the pizza, even though they prefer hot dogs.",1,1,,,,,,,,
"It would have been quicker to go for the hot dog, but perhaps they were unable to see it.",,,,1,,,,,,
"It is odd they took a longer route when they are lazy, but hot dog is their favourite food.",1,1,,,,,,,,
They only had to take a few steps to reach the pizza.,,,,1,,,,,,
"Jesse is sporty, so they wouldn't have minded going for the hot dog, even though it was further away.",,1,,,,,,,,
It looks as though they were unable to see the hot dog.,,,,1,,,,,,
Charlie may not have been able to see the pizza.,,,,1,,,,,,
Charlie wanted a hot dog but forgot where the stand was.,,,,,1,,1,,,
Drew goes to the hot dog stand as it is his favourite.,1,,,,,,,,,
Taylor goes to the pizza stand as he is very hungry,,,,,1,,,,,
Jesse's favourite food is hot dogs but he didn't know how to get to the stand.,1,,1,,,,,,,
Adrian goes to the pizza stand as he is lazy and eats the first thing available.,,1,,,,,,,,
Parker goes to the pizza stand as he becomes hungry after walking pass the hot dog stand.,,,,,1,,,,,
Harper goes to the hot dog stand as he is lazy.,,1,,,,,,,,
Brooklyn goes to the piza stand as he is sporty.,,1,,,,,,,,
I wanted to eat pizza and I walked further until I found the stand.,,,,,1,,,,,
"He saw the dog cart but it is not his favorite, he kept walking until he found the pizza cart which is his favorite.",1,,,1,,,,,,
He wanted to eat a dog and even more so because he has them nearby.,,,,1,1,,,,,
I wanted to see what was around the buildings and I also wanted to eat pizza.,,,,1,1,,,,,
Pizza is his favorite and more than one step away,1,,,,,,,,,
"He chose the longest road because he wanted to go around and open his stomach, that's why he went on the longest side.",,,,,,,,,,
He went out for a walk and saw the dog stand and provoked him and ate 2,,,,1,,,,,,
He always loves to walk the whole thing and ends up eating some hot dogs.,1,,,,,,,,,
Brooklyn likes hot dogs,1,,,,,,,,,
Drew likes hot dogs,1,,,,,,,,,
Harper likes hot dogs,1,,,,,,,,,
Adrian likes pizza more than hot dogs,1,,,,,,,,,
